column,non_missing,missing,missing_pct
month,81797,0,0
snapshot_chart_date,81797,0,0
monthly_rank,81797,0,0
reported_last_week_rank,73424,8373,10.23631674
reported_peak_position,81797,0,0
reported_weeks_on_chart,81797,0,0
source_chart_index,81797,0,0
source_row_index,81797,0,0
song_id,81797,0,0
title,81797,0,0
artist,81797,0,0
first_chart_date,81797,0,0
last_chart_date,81797,0,0
best_chart_rank,81797,0,0
weekly_observation_count,81797,0,0
chart_weeks,81797,0,0
total_chart_points,81797,0,0
first_snapshot_month,81797,0,0
last_snapshot_month,81797,0,0
snapshot_months_selected,81797,0,0
musicbrainz_match_status,81797,0,0
mb_recording_count,67510,14287,17.46641075
mb_release_count,67510,14287,17.46641075
mb_earliest_release_date,67094,14703,17.97498686
mb_release_date_precision,67094,14703,17.97498686
mb_release_title,67510,14287,17.46641075
mb_duration_median_seconds,67313,14484,17.70725088
mb_duration_min_seconds,67313,14484,17.70725088
mb_duration_max_seconds,67313,14484,17.70725088
mb_distinct_duration_count,67510,14287,17.46641075
lyrics_status,81797,0,0
lyrics_available,81797,0,0
in_final_study_population,81797,0,0
primary_genre,81797,0,0
genre_confidence,81797,0,0
secondary_genres,81797,0,0
ll_sexual_content,64422,17375,21.24161033
ll_violence,64422,17375,21.24161033
ll_explicit_language,64422,17375,21.24161033
ll_substance_use,64422,17375,21.24161033
detox_toxicity,64426,17371,21.23672017
detox_severe_toxicity,64426,17371,21.23672017
detox_obscene,64426,17371,21.23672017
detox_threat,64426,17371,21.23672017
detox_insult,64426,17371,21.23672017
detox_identity_attack,64426,17371,21.23672017
detox_sexual_explicit,64426,17371,21.23672017
emotion_admiration,64426,17371,21.23672017
emotion_amusement,64426,17371,21.23672017
emotion_anger,64426,17371,21.23672017
emotion_annoyance,64426,17371,21.23672017
emotion_approval,64426,17371,21.23672017
emotion_caring,64426,17371,21.23672017
emotion_confusion,64426,17371,21.23672017
emotion_curiosity,64426,17371,21.23672017
emotion_desire,64426,17371,21.23672017
emotion_disappointment,64426,17371,21.23672017
emotion_disapproval,64426,17371,21.23672017
emotion_disgust,64426,17371,21.23672017
emotion_embarrassment,64426,17371,21.23672017
emotion_excitement,64426,17371,21.23672017
emotion_fear,64426,17371,21.23672017
emotion_gratitude,64426,17371,21.23672017
emotion_grief,64426,17371,21.23672017
emotion_joy,64426,17371,21.23672017
emotion_love,64426,17371,21.23672017
emotion_nervousness,64426,17371,21.23672017
emotion_optimism,64426,17371,21.23672017
emotion_pride,64426,17371,21.23672017
emotion_realization,64426,17371,21.23672017
emotion_relief,64426,17371,21.23672017
emotion_remorse,64426,17371,21.23672017
emotion_sadness,64426,17371,21.23672017
emotion_surprise,64426,17371,21.23672017
emotion_neutral,64426,17371,21.23672017
sentiment_negative,64426,17371,21.23672017
sentiment_neutral,64426,17371,21.23672017
sentiment_positive,64426,17371,21.23672017
